source_hostname,destination_hostname,port,connection_status,service,daemon,comment,test_type
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,25,BLOCKED,Email Notification,SMTP ,SMTP ( Default - Non SSL),Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,25,ACCESSIBLE,Email Notification,SMTP ,SMTP ( Default - Non SSL),Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,111,BLOCKED,HDFS,NFS gateway,portmapper or rpcbind port.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,111,ACCESSIBLE,HDFS,NFS gateway,portmapper or rpcbind port.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,2049,BLOCKED,HDFS,NFS gateway,nfs port (nfs3.server.port) ,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,2049,ACCESSIBLE,HDFS,NFS gateway,nfs port (nfs3.server.port) ,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,2182,BLOCKED,ZooKeeper,Apache ZooKeeper Server,secureClientPort,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,2182,ACCESSIBLE,ZooKeeper,Apache ZooKeeper Server,secureClientPort,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,4242,BLOCKED,HDFS,NFS gateway,mountd port (nfs3.mountd.port),Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,4242,ACCESSIBLE,HDFS,NFS gateway,mountd port (nfs3.mountd.port),Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,6080,BLOCKED,Ranger,Ranger server Non SSL,This port is used only when Ranger is in none SSL mode.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,6080,ACCESSIBLE,Ranger,Ranger server Non SSL,This port is used only when Ranger is in none SSL mode.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,6182,BLOCKED,Ranger,Ranger Server with SSL,This port is used only when Ranger is in SSL mode.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,6182,ACCESSIBLE,Ranger,Ranger Server with SSL,This port is used only when Ranger is in SSL mode.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,7180,ACCESSIBLE,Cloudera Manager Server,HTTP (Web UI),Used for communication to peer (source) Cloudera Manager.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,7180,BLOCKED,Cloudera Manager Server,HTTP (Web UI),Used for communication to peer (source) Cloudera Manager.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,7183,BLOCKED,Cloudera Manager Server,HTTPS (Web UI),Used for communication to peer (source) Cloudera Manager when HTTPS is enabled.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,7183,ACCESSIBLE,Cloudera Manager Server,HTTPS (Web UI),Used for communication to peer (source) Cloudera Manager when HTTPS is enabled.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,7337,BLOCKED,Spark 3,Shuffle service,Port on which the Spark external shuffle service runs.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,7337,ACCESSIBLE,Spark 3,Shuffle service,Port on which the Spark external shuffle service runs.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,7788,BLOCKED,Schema Registry,Schema Registry,REST endpoint for Schema Registry.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,7788,ACCESSIBLE,Schema Registry,Schema Registry,REST endpoint for Schema Registry.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,7789,BLOCKED,Schema Registry,Schema Registry,Page for monitoring the Schema Registry service to determine for example the health state and CPU usage.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,7789,ACCESSIBLE,Schema Registry,Schema Registry,Page for monitoring the Schema Registry service to determine for example the health state and CPU usage.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,7790,BLOCKED,Schema Registry,Schema Registry,When SSL is enabled, REST endpoint for Schema Registry.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,7791,BLOCKED,Schema Registry,Schema Registry,When SSL is enabled, the page for monitoring the Schema Registry service to determine for example the health state and CPU usage.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,7790,ACCESSIBLE,Schema Registry,Schema Registry,When SSL is enabled, REST endpoint for Schema Registry.,Port_Connectivity_Test
